iter	Passed	Remaining
405	5957	67410
406	5974	67426
407	5990	67425
408	6001	67361
409	6016	67357
410	6034	67376
411	6044	67309
412	6047	67168
413	6063	67165
414	6080	67173
415	6095	67170
416	6111	67168
417	6117	67062
418	6134	67068
419	6144	67004
420	6154	66937
421	6170	66944
422	6177	66842
423	6193	66841
424	6208	66834
425	6224	66834
426	6241	66841
427	6256	66834
428	6272	66834
429	6288	66830
430	6303	66824
431	6320	66830
432	6337	66848
433	6347	66781
434	6363	66780
435	6381	66796
436	6397	66800
437	6403	66700
438	6420	66706
439	6436	66708
440	6452	66709
441	6469	66709
442	6485	66713
443	6501	66715
444	6517	66714
445	6533	66714
446	6550	66720
447	6565	66712
448	6582	66716
449	6597	66706
450	6613	66708
451	6617	66583
452	6623	66484
453	6639	66482
454	6655	66486
455	6672	66491
456	6689	66496
457	6705	66502
458	6712	66410
459	6729	66414
460	6745	66413
461	6761	66414
462	6777	66410
463	6792	66405
464	6809	66413
465	6825	66411
466	6835	66352
467	6853	66363
468	6869	66367
469	6885	66367
470	6895	66305
471	6911	66303
472	6927	66301
473	6943	66295
474	6959	66293
475	6974	66291
476	6984	66227
477	7000	66230
478	7005	66120
479	7022	66124
480	7025	66005
481	7041	66007
482	7044	65881
483	7060	65878
484	7076	65880
485	7092	65875
486	7109	65880
487	7125	65882
488	7141	65880
489	7158	65887
490	7174	65884
491	7190	65886
492	7206	65883
493	7223	65886
494	7239	65885
495	7243	65778
496	7250	65688
497	7266	65692
498	7283	65696
499	7287	65588
500	7304	65592
501	7320	65590
502	7336	65589
503	7343	65506
504	7358	65496
505	7375	65500
506	7391	65499
507	7406	65494
508	7417	65442
509	7423	65356
510	7439	65354
511	7455	65351
512	7471	65346
513	7473	65227
514	7489	65223
515	7507	65236
516	7522	65233
517	7538	65228
518	7554	65224
519	7570	65225
520	7573	65109
521	7583	65052
522	7587	64952
523	7597	64899
524	7613	64898
525	7623	64842
526	7639	64843
527	7655	64839
528	7671	64839
529	7687	64838
530	7703	64834
531	7720	64840
532	7730	64787
533	7746	64782
534	7762	64780
535	7778	64779
536	7794	64777
537	7810	64779
538	7827	64786
539	7843	64785
540	7848	64687
541	7864	64688
542	7880	64687
543	7898	64698
544	7914	64699
545	7930	64696
546	7940	64643
547	7944	64538
548	7960	64536
549	7976	64535
550	7992	64535
551	8008	64534
552	8025	64535
553	8041	64535
554	8058	64540
555	8074	64534
556	8090	64535
557	8106	64535
558	8122	64533
559	8139	64532
560	8155	64527
561	8171	64528
562	8181	64479
563	8197	64475
564	8207	64421
565	8222	64418
566	8238	64415
567	8255	64414
568	8264	64361
569	8281	64360
570	8297	64362
571	8313	64359
572	8331	64365
573	8346	64360
574	8362	64357
575	8369	64282
576	8385	64277
577	8401	64278
578	8418	64276
579	8434	64274
580	8450	64274
581	8467	64274
582	8471	64185
583	8487	64182
584	8503	64179
585	8508	64088
586	8518	64037
587	8520	63933
588	8536	63926
589	8553	63931
590	8569	63928
591	8584	63922
592	8601	63925
593	8608	63850
594	8624	63853
595	8641	63856
596	8658	63856
597	8674	63854
598	8690	63853
599	8708	63859
600	8724	63857
601	8740	63855
602	8756	63850
603	8766	63804
604	8782	63801
605	8798	63793
606	8814	63792
607	8818	63699
608	8833	63694
609	8850	63695
610	8866	63693
611	8883	63694
612	8889	63620
613	8906	63622
614	8922	63619
615	8939	63620
616	8956	63621
617	8973	63624
618	8989	63624
619	9005	63621
620	9022	63619
621	9038	63616
622	9054	63612
623	9070	63613
624	9088	63617
625	9104	63616
626	9121	63615
627	9130	63568
628	9147	63564
629	9163	63562
630	9178	63554
631	9195	63552
632	9211	63550
633	9215	63461
634	9232	63461
635	9248	63458
636	9264	63455
637	9280	63451
638	9297	63453
639	9313	63448
640	9329	63442
641	9333	63360
642	9351	63363
643	9367	63358
644	9383	63353
645	9389	63287
646	9399	63241
647	9416	63243
648	9435	63254
649	9451	63255
650	9469	63261
651	9485	63256
652	9502	63260
653	9519	63258
654	9535	63252
655	9551	63248
656	9567	63245
657	9572	63164
658	9587	63157
659	9603	63153
660	9614	63110
661	9630	63106
662	9647	63109
663	9658	63067
664	9667	63023
665	9684	63021
666	9700	63015
667	9716	63013
668	9732	63008
669	9749	63006
670	9765	63001
671	9781	62998
672	9788	62932
673	9804	62929
674	9820	62922
675	9827	62858
676	9831	62777
677	9847	62772
678	9864	62775
679	9881	62777
680	9898	62776
681	9914	62771
682	9931	62770
683	9947	62765
684	9963	62760
685	9980	62761
686	9996	62758
687	10006	62714
688	10022	62712
689	10040	62714
690	10056	62712
691	10073	62712
692	10084	62674
693	10100	62669
694	10116	62663
695	10132	62661
696	10148	62653
697	10164	62649
698	10181	62645
699	10197	62639
700	10213	62633
701	10229	62630
702	10245	62624
703	10261	62619
704	10278	62617
705	10294	62614
706	10310	62608
707	10327	62607
708	10343	62602
709	10359	62596
710	10375	62590
711	10392	62587
712	10408	62584
713	10424	62578
714	10441	62573
715	10457	62569
716	10473	62563
717	10490	62564
718	10506	62557
719	10522	62547
720	10532	62507
721	10549	62505
722	10566	62507
723	10582	62501
724	10600	62506
725	10616	62498
726	10632	62495
727	10650	62495
728	10666	62491
729	10669	62406
730	10685	62403
731	10695	62361
732	10711	62355
733	10728	62352
734	10744	62347
735	10761	62344
736	10777	62340
737	10793	62334
738	10810	62329
739	10826	62327
740	10843	62322
741	10859	62317
742	10875	62312
743	10891	62305
744	10902	62266
745	10917	62258
746	10934	62253
747	10950	62247
748	10966	62240
749	10983	62238
750	10999	62230
751	11014	62221
752	11030	62212
753	11047	62214
754	11064	62212
755	11081	62206
756	11096	62198
757	11113	62192
758	11129	62186
759	11145	62181
760	11162	62178
761	11178	62173
762	11195	62170
763	11205	62129
764	11222	62125
765	11239	62124
766	11256	62124
767	11273	62123
768	11290	62117
769	11306	62113
770	11323	62109
771	11339	62105
772	11355	62097
773	11372	62092
774	11389	62090
775	11405	62085
776	11422	62081
777	11439	62080
778	11455	62072
779	11472	62070
780	11489	62066
781	11505	62060
782	11521	62053
783	11538	62047
784	11554	62041
785	11570	62034
786	11586	62027
787	11603	62022
788	11619	62015
789	11636	62012
790	11652	62006
791	11669	62003
792	11685	61995
793	11702	61989
794	11718	61981
795	11734	61977
796	11751	61972
797	11767	61965
798	11783	61958
799	11800	61952
800	11816	61945
801	11833	61943
802	11850	61937
803	11866	61929
804	11883	61926
805	11899	61921
806	11906	61864
807	11923	61861
808	11940	61855
809	11956	61849
810	11972	61840
811	11989	61835
812	12005	61827
813	12021	61819
814	12037	61812
815	12053	61802
816	12069	61796
817	12085	61785
818	12101	61777
819	12117	61770
820	12132	61758
821	12148	61748
822	12164	61741
823	12181	61734
